Time,south_north,west_east,XLAT,XLONG,XTIME,T2
0,3,66,25.851791,-74.04132,2024-08-25,301.6997
0,3,67,25.773422,-73.760864,2024-08-25,301.64664
0,3,68,25.694199,-73.48099,2024-08-25,301.8185
0,3,69,25.614136,-73.20175,2024-08-25,301.8773
0,3,70,25.533226,-72.92313,2024-08-25,301.83295
0,3,71,25.451477,-72.64514,2024-08-25,301.94174
0,3,72,25.368904,-72.36777,2024-08-25,302.05045
0,4,0,29.242733,-93.58197,2024-08-25,303.79944
0,4,1,29.227383,-93.27429,2024-08-25,303.93848
0,4,2,29.210999,-92.966736,2024-08-25,303.9502
0,4,3,29.193596,-92.65936,2024-08-25,304.04465
0,4,4,29.175167,-92.35211,2024-08-25,304.02747
0,4,5,29.155708,-92.045074,2024-08-25,303.37875
0,4,6,29.13522,-91.73819,2024-08-25,302.6967
0,4,7,29.1137,-91.43146,2024-08-25,302.18765
0,4,8,29.091175,-91.12497,2024-08-25,302.62332
0,4,9,29.067612,-90.818665,2024-08-25,302.70065
0,4,10,29.043022,-90.51257,2024-08-25,302.71988
0,4,11,29.017437,-90.206665,2024-08-25,302.44785
0,4,12,28.990822,-89.90103,2024-08-25,302.36557
0,4,13,28.963184,-89.59561,2024-08-25,302.1851
0,4,14,28.934532,-89.290436,2024-08-25,301.8243
0,4,15,28.904877,-88.985535,2024-08-25,301.92706
0,4,16,28.87421,-88.68088,2024-08-25,301.82352
0,4,17,28.84253,-88.376495,2024-08-25,301.83002
0,4,18,28.809841,-88.07239,2024-08-25,301.81754
0,4,19,28.776134,-87.768585,2024-08-25,301.77115
0,4,20,28.741444,-87.46506,2024-08-25,301.66913
0,4,21,28.705742,-87.161835,2024-08-25,301.81357
0,4,22,28.669037,-86.85895,2024-08-25,301.88867
0,4,23,28.63134,-86.556366,2024-08-25,301.80725
0,4,24,28.592648,-86.25409,2024-08-25,301.66333
0,4,25,28.552952,-85.95218,2024-08-25,301.63934
0,4,26,28.512276,-85.650635,2024-08-25,301.68338
0,4,27,28.470612,-85.349396,2024-08-25,301.55
0,4,28,28.427967,-85.04852,2024-08-25,301.3958
0,4,29,28.384327,-84.74805,2024-08-25,301.4408
0,4,30,28.339699,-84.44794,2024-08-25,301.5659
0,4,31,28.294102,-84.14819,2024-08-25,301.4969
0,4,32,28.247532,-83.84888,2024-08-25,301.68198
0,4,33,28.199974,-83.54993,2024-08-25,301.94867
0,4,34,28.151466,-83.2514,2024-08-25,302.07367
0,4,35,28.101967,-82.95328,2024-08-25,302.1472
0,4,36,28.051521,-82.65558,2024-08-25,303.30228
0,4,37,28.000103,-82.35831,2024-08-25,302.82037
0,4,38,27.94772,-82.06149,2024-08-25,301.1375
0,4,39,27.894382,-81.76511,2024-08-25,300.72214
0,4,40,27.840103,-81.46918,2024-08-25,300.43182
0,4,41,27.784863,-81.173676,2024-08-25,299.61002
0,4,42,27.728672,-80.87866,2024-08-25,300.10724
0,4,43,27.671535,-80.58411,2024-08-25,300.40143
0,4,44,27.613472,-80.29004,2024-08-25,301.2824
0,4,45,27.554451,-79.99646,2024-08-25,301.7429
0,4,46,27.494495,-79.70337,2024-08-25,301.76788
0,4,47,27.43362,-79.4108,2024-08-25,301.7982
0,4,48,27.371826,-79.11871,2024-08-25,301.7113
0,4,49,27.309097,-78.82712,2024-08-25,301.7061
0,4,50,27.245441,-78.53607,2024-08-25,301.93735
0,4,51,27.180862,-78.245544,2024-08-25,302.16144
0,4,52,27.115368,-77.955536,2024-08-25,302.09998
0,4,53,27.048977,-77.66608,2024-08-25,301.99554
0,4,54,26.981667,-77.37714,2024-08-25,301.89935
0,4,55,26.91346,-77.088745,2024-08-25,301.46082
0,4,56,26.844353,-76.800934,2024-08-25,301.58597
0,4,57,26.77435,-76.51367,2024-08-25,301.475
0,4,58,26.703453,-76.22696,2024-08-25,301.45364
0,4,59,26.63166,-75.94086,2024-08-25,301.35248
0,4,60,26.558987,-75.65527,2024-08-25,301.53806
0,4,61,26.48544,-75.37033,2024-08-25,301.6762
